,score,algorithm,file,runtime,params_dict,size,nr_entries,nr_entries_original,nr_particles,nr_timesteps,nr_clusters,nr_entries_binned,nr_entries_original_binned
138,1.0,"ST_HDBSCAN, opt.",calovi_300_75.csv,0.09822225570678711,"{'n_clusters': 2, 'threshold': 0.3, 'eps2': 5}",3000,2100,2100,7,300,2,800,800
139,0.0006847704386815331,"ST_Spectral, opt.",calovi_300_75.csv,0.1191554069519043,"{'n_clusters': 2, 'eps2': 15}",3000,2100,2100,7,300,2,800,800
140,1.0,"Spectral, delta",calovi_100_65.csv,0.007798671722412109,{'cluster_count': 2},3000,2000,2000,20,100,2,800,800
141,1.0,"HDBSCAN, delta",calovi_100_65.csv,0.006614208221435547,{},3000,2000,2000,20,100,2,800,800
142,0.7279419608811803,"Affinity, delta",calovi_100_65.csv,0.00704193115234375,{},3000,2000,2000,20,100,2,800,800
143,1.0,"Spectral, delta",calovi_100_65.csv,0.007897615432739258,{'cluster_count': 2},3000,2000,2000,20,100,2,800,800
144,1.0,"HDBSCAN, delta",calovi_100_65.csv,0.006886959075927734,{},3000,2000,2000,20,100,2,800,800
145,0.7279419608811803,"Affinity, delta",calovi_100_65.csv,0.007478952407836914,{},3000,2000,2000,20,100,2,800,800
146,1.0,"Spectral, delta+1std",calovi_100_65.csv,0.01365351676940918,{'cluster_count': 2},3000,2000,2000,20,100,2,800,800
147,1.0,"HDBSCAN, delta+1std",calovi_100_65.csv,0.01226043701171875,{},3000,2000,2000,20,100,2,800,800
148,0.7279419608811803,"Affinity, delta+1std",calovi_100_65.csv,0.013078451156616211,{},3000,2000,2000,20,100,2,800,800
149,1.0,"Spectral, delta",calovi_100_65.csv,0.007290363311767578,{'cluster_count': 2},3000,2000,2000,20,100,2,800,800
150,1.0,"HDBSCAN, delta",calovi_100_65.csv,0.006356239318847656,{},3000,2000,2000,20,100,2,800,800
151,0.7279419608811803,"Affinity, delta",calovi_100_65.csv,0.006658315658569336,{},3000,2000,2000,20,100,2,800,800
152,1.0,"Spectral, delta+2std",calovi_100_65.csv,0.011713027954101562,{'cluster_count': 2},3000,2000,2000,20,100,2,800,800
153,1.0,"HDBSCAN, delta+2std",calovi_100_65.csv,0.010737419128417969,{},3000,2000,2000,20,100,2,800,800
154,0.7279419608811803,"Affinity, delta+2std",calovi_100_65.csv,0.011621236801147461,{},3000,2000,2000,20,100,2,800,800
155,1.0,"Spectral, stddv",calovi_100_65.csv,0.007586002349853516,{'cluster_count': 2},3000,2000,2000,20,100,2,800,800
156,1.0,"HDBSCAN, stddv",calovi_100_65.csv,0.006173849105834961,{},3000,2000,2000,20,100,2,800,800
157,0.7279419608811803,"Affinity, stddv",calovi_100_65.csv,0.007109880447387695,{},3000,2000,2000,20,100,2,800,800
